id,text,central,peripheral,naturalness,availability,illusory
1,"Scientists discover miracle cure that doctors don't want you to know about",0,1,1,0,0
2,"Breaking: Local politician caught in major scandal",1,0,0,1,0
3,"This one weird trick will solve all your problems naturally",0,1,1,0,1
4,"Study shows 90% of people don't know this simple fact",0,1,0,1,1
5,"Experts agree: This natural remedy works better than medicine",0,1,1,0,0
6,"Government officials refuse to comment on leaked documents",1,0,0,1,0
7,"Ancient wisdom reveals the secret to perfect health",0,1,1,0,1
8,"New research confirms what we've always suspected",1,0,0,1,0
9,"They don't want you to know about this natural alternative",0,1,1,0,0
10,"Breaking investigation uncovers shocking truth about industry",1,0,0,1,0